SEL2	411 VAR CTRL			Date: 06/01	/2015   Tim	e: 20:11:56							
BIG	BLUE 161KV												
													
#	DATE	TIME	VA_MAG	VB_MAG	VC_MAG	MV10	SC01	SC02	P	Q	PF	MV32	MV27
1307	5/28/2015	7:20:02	94808.234	95105.641	95069.461	-5950	0	31	19430.299	-4787.222	0.971	0	0
1306	5/28/2015	7:25:02	95133.266	94892.305	95099.266	-10200	0	48	18804.766	-3832.295	0.98	0	0
1305	5/28/2015	7:30:02	95214.641	94934.023	95076.758	-10200	0	48	20458.41	-4099.106	0.981	0	0
1304	5/28/2015	7:35:01	95054.773	94989.336	95295.141	-10200	0	48	21211.762	-4226.067	0.981	0	0
1303	5/28/2015	7:40:02	95112.594	95132.031	95284.117	-10200	0	48	20888.115	-3931.435	0.983	0	0
1302	5/28/2015	7:45:01	95268.648	95020.047	95105.703	-10200	0	48	20062.041	-4221.663	0.979	0	0
1301	5/28/2015	7:50:02	94987.594	95288.727	95044.805	-10200	0	48	20258.5	-5499.416	0.965	0	0
1300	5/28/2015	7:55:02	95212.953	95121.687	94899.07	-10200	0	48	21058.129	-6331.734	0.958	0	0
1299	5/28/2015	8:00:02	95349.141	95405.406	95059.937	-10200	0	48	22341.059	-4645.255	0.979	0	0
1298	5/28/2015	8:05:02	95338.766	95371.133	95550.148	-10200	0	48	21386.58	-4857.336	0.975	0	0
1297	5/28/2015	8:10:02	95168.07	95455.875	95373.922	-10200	0	48	20411.193	-6072.474	0.958	0	0
1296	5/28/2015	8:15:02	95586.562	95410.437	95600.031	-10200	0	48	19297.338	-4369.122	0.975	0	0
1295	5/28/2015	8:20:01	95482.75	95739.133	95412.305	-10200	0	48	18544.354	-4998.563	0.966	0	0
1294	5/28/2015	8:25:02	95235.93	95578.352	95463.727	-10200	0	48	19641.627	-6331.768	0.952	0	0
1293	5/28/2015	8:30:02	95328.617	95402.469	95597.43	-10200	0	48	19299.221	-5698.12	0.959	0	0
1292	5/28/2015	8:35:02	95378.312	95723.148	95669.133	-10200	0	48	18442.217	-4565.543	0.971	0	0
1291	5/28/2015	8:40:02	95381.133	95686.828	95617.789	-10200	0	48	17348	-4008.815	0.974	0	0
1290	5/28/2015	8:45:02	95301.062	95586.234	95460.109	-10200	0	48	13876.004	-3589.876	0.968	0	0
1289	5/28/2015	8:50:02	95474.289	95487.93	95208.633	-10200	0	48	14538.483	-4009.042	0.964	0	0
1288	5/28/2015	8:55:02	95383.898	95215.516	95363.633	-10200	0	48	14983.658	-5155.339	0.946	0	0
1287	5/28/2015	9:00:02	95321.93	95082	95215.195	-10200	0	48	13534.128	-4627.206	0.946	1	0
1286	5/28/2015	9:05:02	95430.648	95407.57	95089.336	-10200	0	48	13709.443	-3783.812	0.964	1	0
1285	5/28/2015	9:10:01	95298.516	95338.711	95532.391	-10200	0	48	12717.175	-2900.24	0.975	1	0
1284	5/28/2015	9:15:02	95293.039	95355.211	95550.984	-10200	0	48	13483.18	-3837.956	0.962	1	0
1283	5/28/2015	9:20:02	95544.508	95394.961	95228.578	-10200	0	48	14365.898	-4272.452	0.959	0	0
